movie_id,title,genres,release_year,tmdb_id,description
1,"Stranger Things","Sci-Fi;Horror;Drama",2016,66732,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces."
2,"Breaking Bad","Crime;Drama;Thriller",2008,1396,"A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing meth."
3,"Dark","Sci-Fi;Mystery;Drama",2017,70523,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes double lives."
4,"Mindhunter","Crime;Drama;Thriller",2017,67744,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
5,"The Witcher","Fantasy;Adventure;Drama",2019,71912,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
6,"Money Heist","Crime;Drama;Thriller",2017,71446,"An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history."
7,"Narcos","Biography;Crime;Drama",2015,63351,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar."
8,"Westworld","Sci-Fi;Western;Drama",2016,63247,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged."
9,"The Crown","Biography;Drama;History",2016,1399,"Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century."
10,"Ozark","Crime;Drama;Thriller",2017,69740,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
11,"House of Cards","Drama;Political",2013,1425,"A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him."
12,"Black Mirror","Sci-Fi;Thriller;Drama",2011,42009,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
13,"The Mandalorian","Sci-Fi;Adventure;Western",2019,82856,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
